epoch,m_loss
1,-1806.5581571138823
2,-1818.2039106320112
3,-1822.8572638095955
4,-1826.8253173828125
5,-1828.9859759990986
6,-1831.4572002704326
7,-1833.320052709335
8,-1835.1688310672075
9,-1836.81498053135
10,-1838.3639588967349
11,-1839.748740171775
12,-1841.0789920122195
13,-1842.480669070513
14,-1843.6373525766226
15,-1845.2010638897236
16,-1845.911852714343
17,-1847.125478891226
18,-1848.297369541266
19,-1849.3860614483174
20,-1850.0120912209536
21,-1851.2232759915864
22,-1851.9882436899038
23,-1852.8914607121394
24,-1853.6409614758613
25,-1854.711212940705
26,-1855.5630774864783
27,-1856.1904875926482
28,-1857.2382342998799
29,-1857.9123676006611
30,-1858.8157082582131
