epoch,total,recon,kl
1,-912.0224656179929,-915.0995328168457,3.077068651942775
2,-1291.5189490685095,-1303.5141100761218,11.995161129878117
3,-1351.3975783128005,-1365.7524007161458,14.354826169136244
4,-1390.148881961138,-1405.31250782502,15.163624971340864
5,-1425.6913514748599,-1441.7215028420474,16.030150841443966
6,-1476.5725911458333,-1493.5191415640024,16.946553878295116
7,-1523.2849997495994,-1541.470703125,18.185705796266213
8,-1559.4890778370393,-1578.45845696865,18.96938194372715
9,-1585.398936736278,-1605.009540264423,19.6106014251709
10,-1610.1309141501401,-1630.2174823467549,20.086563697228065
11,-1631.54251959385,-1652.2037869966948,20.661268576597557
12,-1649.3310891175881,-1670.286616398738,20.955529041779346
13,-1664.9141986553486,-1686.2698442508013,21.35564156067677
14,-1679.0448843149038,-1700.8934044471155,21.848519325256348
15,-1690.0412425505808,-1712.2579017052283,22.216649715717022
16,-1699.3933449769631,-1721.9857850686099,22.592439700395634
17,-1709.5309542142427,-1732.4124943659856,22.88153543227758
18,-1717.6912247095352,-1740.797374236278,23.106154490739872
19,-1725.1690423427483,-1748.4934410682092,23.324397747333233
20,-1732.3744365985576,-1755.88766401242,23.513230201525566
21,-1738.2971598307292,-1762.0201854216746,23.723018866318924
22,-1744.4071467472957,-1768.2481673803086,23.841022613721016
23,-1749.966296073718,-1774.0307163336338,24.064420748979618
24,-1755.0663295648037,-1779.252206655649,24.18587149106539
25,-1759.4820431440305,-1783.7492128029849,24.267165281833748
26,-1764.3280796148838,-1788.698237492488,24.370155114393967
27,-1767.9772072816506,-1792.472903520633,24.495695896637745
28,-1772.3592388446514,-1796.9711538461538,24.611923755743565
29,-1776.0264845628005,-1800.675508939303,24.64902310493665
30,-1779.2849950545874,-1804.0581383338342,24.773145211048615
