epoch,m_loss
1,-3338.3235846625435
2,-3376.1588134765625
3,-3390.319847954644
4,-3401.5980122884116
5,-3409.9290059407554
6,-3417.208238389757
7,-3424.3895331488716
8,-3431.1072285970054
9,-3436.609900580512
10,-3442.35250515408
11,-3447.541480170356
12,-3453.3196987575957
13,-3457.7202589246963
14,-3461.768079969618
15,-3466.6996629503037
16,-3471.6297844780815
17,-3475.7955729166665
18,-3479.8021579318574
19,-3484.538859049479
20,-3488.2867363823784
21,-3492.6258884006074
22,-3497.0161980523003
23,-3501.759670681424
24,-3505.3045179578994
25,-3509.084537082248
26,-3513.617635091146
27,-3517.1412319607207
28,-3520.588687472873
29,-3525.182844373915
30,-3527.9285753038193
