epoch,total,recon,kl
1,-1791.701413763894,-1806.91241757075,15.210998733864269
2,-2441.065643310547,-2461.303992377387,20.238344695832993
3,-2746.510257297092,-2769.144812689887,22.634568876690334
4,-2875.679985894097,-2898.077117919922,22.397143205006916
5,-2923.750735812717,-2945.4776441786025,21.726912524965073
6,-2949.989013671875,-2971.2097778320312,21.22076039844089
7,-2971.6375664605034,-2992.496029324002,20.858468612035114
8,-2990.4413384331597,-3011.2115139431426,20.77015866173638
9,-3011.5559692382812,-3032.3920321994356,20.836059437857735
10,-3032.408637152778,-3053.3623623318144,20.953728596369427
11,-3052.452212863498,-3073.621371799045,21.169158352745903
12,-3072.6510179307725,-3094.135484483507,21.484474261601765
13,-3092.918931749132,-3114.516638861762,21.59770467546251
14,-3107.7349785698784,-3129.422156439887,21.687171989017063
15,-3122.3128628200957,-3144.3343811035156,22.02149232228597
16,-3138.929955376519,-3161.1302354600693,22.200281805462307
17,-3154.422071668837,-3176.8711208767363,22.449050188064575
18,-3168.5081922743057,-3191.1954549153647,22.68725821706984
19,-3183.273501925998,-3206.044152153863,22.770658678478664
20,-3197.829108344184,-3220.655480278863,22.826378954781426
21,-3209.4573669433594,-3232.7166849772134,23.259319967693752
22,-3222.9933403862847,-3246.4078911675347,23.414556158913506
23,-3235.9857381184897,-3259.4801500108506,23.494409799575806
24,-3247.781511094835,-3271.263237847222,23.481711679034763
25,-3260.878448486328,-3284.599602593316,23.721159590615166
26,-3270.3374294704863,-3294.114542643229,23.77712493472629
27,-3280.760999891493,-3304.786054823134,24.02506070666843
28,-3291.2752719455293,-3315.4151984320747,24.139935572942097
29,-3302.227491590712,-3326.4642164442275,24.236722575293648
30,-3308.3428751627603,-3332.7987094455293,24.455830176671345
